Sentence|Atomic|Independent|Declarative|Absolute|AIDA|Rewritten_Sentence
Conclusions Our data provide insight in the epidemiology, clinical profile and virological features of mild symptomatic dengue patients who presented to PHC with AUF in Vietnam.|False|False|True|False|False|Our data provide insight in the epidemiology, clinical profile and virological features of mild symptomatic dengue patients who presented to PHC with AUF in Vietnam.
Conclusions Our results suggest flucloxacillin in combination with a single protein-synthesis inhibitor such as clindamycin would give the best treatment outcome.|True|False|True|False|False|Our results suggest flucloxacillin in combination with a single protein-synthesis inhibitor such as clindamycin give the best treatment outcome.
Our data reveal that cold storage plus transplantation exacerbated renal and mitochondrial dysfunction when compared to autotransplantation alone.|True|False|True|False|False|Cold storage plus transplantation exacerbates renal and mitochondrial dysfunction when compared to autotransplantation alone.
These findings demonstrate population connectivity differences among species at biogeographic and evolutionary timescales, which likely translates into differences in dispersal ability at ecological and demographic timescales.|True|False|True|False|False|These findings demonstrate population connectivity differences among species at biogeographic and evolutionary timescales, which translates into differences in dispersal ability at ecological and demographic timescales.
We demonstrate here how the geometry of the neuronal spine can control diffusion and ultimately synaptic processes.|True|False|True|False|False|We demonstrate here how the geometry of the neuronal spine controls diffusion and ultimately synaptic processes.
Summing up, we aim at enlightening the contribution of transient effects in predicting the phase response and showing the limits of the phase reduction approach to prevent from falling into wrong predictions in synchronization problems.|True|False|True|False|False|Summing up, we aim at enlightening the contribution of transient effects in predicting the phase response and showing the limits of the phase reduction approach to prevent from falling into wrong predictions in synchronization problems.
Keywords Mean-field limitsPropagation of chaosStochastic differential equationsNeural networksNeural assembliesHodgkin Huxley neuronsFitzHugh Nagumo neuronsissue-copyright-statement The Author(s) 2015|True|True|False|False|False|Keywords Mean-field limitsPropagation of chaosStochastic differential equationsNeural networksNeural assembliesHodgkin Huxley neuronsFitzHugh Nagumo neuronsissue-copyright-statement The Author(s) 2015
Objective This study describes the characteristics of four medical networks, analyzes their theoretical dissemination potential, their actual dissemination, and the propagation and distribution of tweets.|False|False|True|False|False|Objective This study describes the characteristics of four medical networks, analyzes their theoretical dissemination potential, their actual dissemination, and the propagation and distribution of tweets.
Objective The intent of the study was to provide the first national profile of Australian doctors' attitudes toward and use of online social media.|True|True|True|False|False|Objective The intent of the study is to provide the first national profile of Australian doctors' attitudes toward and use of online social media.
CAT required fewer items than NAT (an efficiency gain of 32%), suggesting a reduced burden for respondents.|True|True|True|False|False|CAT requires fewer items than NAT (an efficiency gain of 32%), suggesting a reduced burden for respondents.
This study was performed in the domain of decision-supported medication reviews.|True|False|True|False|False|This study is performed in the domain of decision-supported medication reviews.
We hope that our results will be a basis for developing biodevices using living photosynthetic diatom cells.|True|False|True|False|False|We hope that our results are a basis for developing biodevices using living photosynthetic diatom cells.
The results are significant to the continued applicability of nanoparticles used for the molecular labeling of cancer cells to determine tumor heterogeneity, grade, and chemotherapeutic resistivity.|True|False|True|False|False|The results are to the continued applicability of nanoparticles used for the molecular labeling of cancer cells to determine tumor heterogeneity, grade, and chemotherapeutic resistivity.
Conclusion Taken together, our study demonstrated that PTX-ETP/PLGA NP based combination therapy holds significant potential towards the treatment of osteosarcoma.|False|False|True|False|False|PTX-ETP/PLGA NP based combination therapy holds potential towards the treatment of osteosarcoma.
The definition of Parkinson's disease (PD) is changing with the expansion of clinical phenomenology and improved understanding of environmental and genetic influences that impact on the pathogenesis of the disease at the cellular and molecular level.|True|True|True|False|False|The definition of Parkinson's disease (PD) is changing with the expansion of clinical phenomenology and improved understanding of environmental and genetic influences that impact on the pathogenesis of the disease at the cellular and molecular level.
